smiles,Optimized Energy,Optimization Time (s)
C=C,-78.03876941254534,2.7196617126464844
C=O,-113.86953646696564,1.2152717113494873
C#N,-92.87694247778018,1.043492078781128
CCO,-154.08991870721275,4.250206232070923
CCC(=O)O,-266.85898515805115,18.837059020996094
CN=C=O,-206.79559264403252,6.151676654815674
C1=CCC=CC1,-231.8467615667211,18.24039888381958
C1=CC=CC=C1,-230.71352354226508,6.226842880249023
C1=C(C)C=CC=C1,-269.75355216648376,14.457831859588623
C1CCC2CCCCC2C1,-389.2048422487361,59.21119928359985
